t_ms,x_m,y_m
0.48690232739312495,0.0003787529494502078,0.0006254124936861328
0.5355925601324374,0.00037845998990252046,0.0005699018260903336
0.5842827928717499,0.0003779662068965517,0.0005634178958164015
0.6329730256110624,0.000377549236272235,0.0005327604176334106
0.6816632583503748,0.0003773067965618254,0.0005014100809435707
0.7303534910896874,0.00037688557173678523,0.00047050256472491904
0.7790437238289999,0.0003755913175752092,0.00015318351541883436
0.8277339565683124,0.00037630603767781613,0.00040822898462129943
0.8764241893076249,0.00037513155603759933,0.0002552322935647144
0.9251144220469373,0.00037536301875815023,0.00026287514214063605
0.9738046547862499,0.0003756054277410584,9.682181268457317e-05
1.0224948875255622,0.0003753292134237222,8.857727102264531e-05
1.0711851202648748,0.0003750109117812132,8.045060462268482e-05
1.1198753530041874,0.0003752325350609756,8.154441565040651e-05
1.1685655857434998,0.0003757557332549365,8.732049144985058e-05
1.2172558184828124,0.0003762499235408652,9.263540770290167e-05
1.2659460512221248,0.0003762921911615462,9.804987314327892e-05
1.3146362839614374,0.0003764865992893072,0.00010039870090913287
1.3633265167007496,0.00037743988146011034,0.00023770113459608628
1.4120167494400622,0.0003781381338457784,0.0002587183473645681
1.4607069821793748,0.00037877611950741665,0.00026689961936747833
1.5093972149186872,0.0003798057043582881,0.0002459308894973759
1.5580874476579998,0.0003804109658220388,0.00027917575034374395
1.6067776803973122,0.00038163658241047773,0.0002504271482199837
1.6554679131366248,0.0003822639805654744,0.00028702988272941913
1.7041581458759374,0.0003830603677189688,0.00028702102491882806
1.7528483786152498,0.00038431903850204296,0.0002532556049117486
1.8015386113545622,0.0003853383237602305,0.0002536899574996318
1.8502288440938746,0.00038641120088439665,0.00025304203011160243
1.8989190768331872,0.00038705930159473745,0.0002870965497452714
1.9476093095724998,0.0003882660045729026,0.0002869359287487053
1.9962995423118122,0.0003894587837469891,0.00025161833616085447
2.0449897750511243,0.0003903873269166813,0.0002829308948099458
2.093680007790437,0.0003917262006091709,0.000249142633412609
2.1423702405297496,0.00039256949923231364,0.0002789492986496595
2.1910604732690624,0.00039366790650406495,0.00027485119030704877
2.239750706008375,0.00039513179953496087,0.00024563905518186344
2.288440938747687,0.0003961466525760101,0.0002706913044772565
2.3371311714869996,0.00039750041154573994,0.000244010623869237
2.385821404226312,0.00039859471510770433,0.00024346393323778072
2.434511636965625,0.0003993414010067114,0.0002665842239932886
2.483201869704937,0.0004007031921221195,0.00024365625738291319
2.5318921024442496,0.0004016133828300474,0.0002438542369603194
2.580582335183562,0.0004026877350028032,0.00024455038746651716
2.629272567922875,0.00040324820109602095,0.0002706622774203796
2.677962800662187,0.0004042221306333134,0.000270609128250943
2.726653033401499,0.0004049442240095323,0.0002707875857412372
2.775343266140812,0.00040626936199462596,0.0002454272436418171
2.8240334988801243,0.00040718340943588454,0.0002454960520242031
2.872723731619437,0.0004076484449338332,0.0002707262811737396
2.9214139643587496,0.00040853001947690587,0.0002705852615470228
2.970104197098062,0.0004091914355825782,0.00027066287513908757
3.0187944298373743,0.00040983496478873234,0.00027066551643192485
3.067484662576687,0.00041053127905358374,0.0002707901280445373
3.1161748953159996,0.0004112227499403483,0.0002707304839735943
3.164865128055312,0.0004118605112450038,0.00027074573107439
3.2135553607946243,0.0004124152801145516,0.00027070929061511845
3.2622455935339367,0.00041343021371531026,0.000245388185400638
3.3109358262732496,0.00041341112787784794,0.00027059399041711406
3.359626059012562,0.00041415725665375474,0.00024549537777500104
3.408316291751875,0.00041443383406295593,0.00024542746695851574
3.4570065244911867,0.00041431137704070465,0.0002706119489351547
3.5056967572304996,0.00041461748059701487,0.00027058831263681595
3.554386989969812,0.0004149410507159904,0.00027058145127287203
3.6030772227091243,0.0004152868812452724,0.0002704981472192364
3.651767455448437,0.0004155470634352116,0.00027061772405284943
3.700457688187749,0.00041619486010189584,0.00024555787187839303
3.749147920927062,0.0004158583005676725,0.0002707943230753909
3.7978381536663743,0.00041641400906830474,0.0002455729808395495
3.846528386405687,0.0004165343070175438,0.00024566340643274854
3.8952186191449996,0.000416165509968102,0.00027071005522328554
3.9439088518843115,0.00041671657699462794,0.00024563024142471935
3.9925990846236243,0.00041677247245740554,0.0002456436970837253
4.041289317362937,0.00041673501431646696,0.000245636210420716
4.089979550102249,0.00041625587758112087,0.00027074828589651606
4.1386697828415615,0.00041628793559700297,0.0002707311946038579
4.187360015580874,0.00041667517054604,0.00024556826086956514
4.236050248320187,0.00041665348144898464,0.0002455487237820673
4.284740481059499,0.00041662683437892085,0.000245531695524885
4.333430713798812,0.00041651226053159474,0.00024558932464058844
4.382120946538125,0.00041647151917773874,0.0002455148161611097
4.430811179277437,0.0004164112216514221,0.00024547660547968094
4.47950141201675,0.0004164093491297352,0.00024548703086148895
4.5281916447560615,0.0004164368350463775,0.0002454542483496281
4.576881877495374,0.00041642958761594376,0.0002454982506058327
4.625572110234686,0.00041632080964308074,0.000245433029847631
4.674262342973999,0.0004163095718731073,0.0002453932268237161
4.722952575713312,0.0004163300194138276,0.0002454019549515698
4.771642808452624,0.0004163332412280701,0.00024542093713450297
4.820333041191937,0.00041630719052093115,0.0002454083165257333
4.86902327393125,0.00041632971273373017,0.0002454803317664264
4.917713506670562,0.0004163309484721264,0.0002453877494412766
4.966403739409874,0.0004163477677564825,0.0002454295914234415
5.015093972149186,0.00041632338699910205,0.00024543802877487523
5.063784204888499,0.00041634954658475927,0.0002454603656574521
5.112474437627811,0.0004163893019175335,0.00024541908614279155
5.161164670367124,0.0004163854920396138,0.00024546560340144583
5.209854903106437,0.00041640577463023307,0.00024547806133533886
5.25854513584575,0.0004163980499321006,0.0002454803317664264
5.3072353685850615,0.0004163980499321006,0.0002454803317664264
5.355925601324374,0.0004163980499321006,0.0002454803317664264
5.404615834063687,0.0004164208760496302,0.00024547395266741865
5.453306066802998,0.0004164245812962266,0.0002454901959801095
5.501996299542311,0.0004164171958534495,0.0002454400986477731
5.550686532281624,0.0004163980499321006,0.0002454803317664264
5.599376765020937,0.0004164208760496302,0.00024547395266741865
5.648066997760249,0.00041640551579343185,0.0002454783201721401
5.6967572304995615,0.0004164401999247931,0.00024545243649201973
5.745447463238874,0.0004164250990347248,0.00024545654297772763
5.794137695978187,0.00041640310964912277,0.0002454638932748538
5.842827928717499,0.0004164208760496302,0.00024547395266741865
5.891518161456812,0.00041644391048144426,0.0002454686764460047
5.940208394196124,0.0004164361862370174,0.0002454709468580862
5.988898626935436,0.0004164401999247931,0.00024545243649201973
6.037588859674749,0.0004164590109063557,0.00024546456792444947
6.0862790924140615,0.0004164436515797392,0.0002454394205533266
6.134969325153374,0.0004164436515797392,0.0002454689353477098
